Variable,Media,Desv..Est.,Mín,Máx
Edad,39.18292928864076,12.915578753233811,15,92
Ingreso hora,10583.790748069883,11612.389944655906,96.2278675904542,692840.6466512702
Tiempo empresa,5.2065386602132735,7.265821798228948,0,65
Mujer (%),47.314624153522836,NA,NA,NA
Informal (%),34.124288920342934,NA,NA,NA
